epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1523,1.18958,3.16429,1.06419,0.7714,0.8265,0.90549,0.74526,0.6747,1.13357,0.87175,8.18713e-05,8.18713e-05,8.18713e-05
2,30.8445,0.65479,0.74919,0.86697,0.99129,0.99605,0.99499,0.89942,0.43202,0.41024,0.81304,0.000164387,0.000164387,0.000164387
3,37.8238,0.51071,0.50749,0.83101,0.99857,0.99978,0.995,0.93418,0.34966,0.33181,0.79498,0.000246077,0.000246077,0.000246077
4,44.7877,0.46797,0.4384,0.81751,0.99909,0.99988,0.995,0.94807,0.29873,0.29302,0.78781,0.000246287,0.000246287,0.000246287
5,51.6736,0.43397,0.39162,0.81281,0.99934,0.99998,0.995,0.95053,0.30043,0.28081,0.78392,0.00024505,0.00024505,0.00024505
6,58.6402,0.45058,0.3866,0.81481,0.99932,0.99997,0.995,0.94414,0.32319,0.27198,0.787,0.000243812,0.000243812,0.000243812
7,65.4691,0.44322,0.36961,0.81406,0.99936,0.9998,0.995,0.9415,0.33335,0.26563,0.78817,0.000242575,0.000242575,0.000242575
8,72.7679,0.39288,0.34715,0.80523,0.99957,1,0.995,0.96457,0.25038,0.237,0.77874,0.000241337,0.000241337,0.000241337
9,80.0053,0.3507,0.32115,0.79894,0.99947,0.99992,0.995,0.97649,0.21791,0.2173,0.77504,0.0002401,0.0002401,0.0002401
10,87.2926,0.34778,0.30886,0.80036,0.99964,1,0.995,0.95462,0.29319,0.22489,0.78023,0.000238862,0.000238862,0.000238862
11,94.2928,0.3672,0.30772,0.79933,0.99962,1,0.995,0.9719,0.23137,0.21064,0.77485,0.000237625,0.000237625,0.000237625
12,101.362,0.33012,0.29352,0.79572,0.99965,1,0.995,0.96446,0.24845,0.20928,0.77696,0.000236387,0.000236387,0.000236387
13,108.463,0.31595,0.28238,0.79447,0.99963,1,0.995,0.98306,0.19953,0.19917,0.77122,0.00023515,0.00023515,0.00023515
14,115.527,0.30979,0.27828,0.79397,0.99967,1,0.995,0.97856,0.21881,0.19649,0.77378,0.000233913,0.000233913,0.000233913
15,122.407,0.32404,0.27565,0.79443,0.99962,1,0.995,0.97296,0.22881,0.19872,0.77543,0.000232675,0.000232675,0.000232675
16,129.411,0.30457,0.26566,0.79251,0.99958,1,0.995,0.95029,0.298,0.20836,0.78106,0.000231438,0.000231438,0.000231438
17,136.339,0.31033,0.26782,0.79227,0.99965,1,0.995,0.97763,0.22135,0.19343,0.7732,0.0002302,0.0002302,0.0002302
18,143.176,0.28618,0.25593,0.79054,0.99971,1,0.995,0.9776,0.20463,0.18131,0.77124,0.000228963,0.000228963,0.000228963
19,150.012,0.27305,0.24646,0.78847,0.9997,1,0.995,0.96529,0.25357,0.19111,0.77604,0.000227725,0.000227725,0.000227725
20,156.922,0.28911,0.24947,0.78982,0.99972,1,0.995,0.98558,0.19376,0.17524,0.77062,0.000226488,0.000226488,0.000226488
21,163.824,0.3068,0.25254,0.7925,0.99966,1,0.995,0.98806,0.19966,0.18313,0.76926,0.00022525,0.00022525,0.00022525
